product_id,product_name,category,product_status,paid_submission,row_provenance,apti_earned,apti_available,apti_total,apti_band,unknown_count,determinate_items,applicable_items,determinability_rate,apti_equal,apti_equal_band,apti_unknown_excluded,apti_unknown_excluded_band,s2_available,apti_component_a_earned,apti_component_a_available,apti_component_a_ratio,apti_component_b_earned,apti_component_b_available,apti_component_b_ratio,apti_component_c_earned,apti_component_c_available,apti_component_c_ratio,apti_component_d_earned,apti_component_d_available,apti_component_d_ratio,apti_component_e_earned,apti_component_e_available,apti_component_e_ratio,apti_component_f_earned,apti_component_f_available,apti_component_f_ratio,item_A1,item_A2,item_A3,item_B1,item_B2,item_B3,item_C1,item_C2,item_C3,item_C4,item_C5,item_D1,item_D2,item_D3,item_D4,item_E1,item_E2,item_E3,item_F1,item_F2,unknown_items,scoring_notes
10web,10Web,AI website builder,active,no,adjudicated,79.5,100.0,79.5,Mostly determinable,4,15,20,0.75,77.4,Mostly determinable,93.5,Determinable,85.0,20.0,20.0,1.0,13.0,15.0,0.87,14.5,25.0,0.58,20.0,20.0,1.0,2.0,10.0,0.2,10.0,10.0,1.0,8.0,7.0,5.0,5.0,3.0,5.0,6.0,3.5,5.0,0.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,2.0,6.0,4.0,C4 | C5 | E1 | E2,
adobe-express,Adobe Express,AI design,active,no,adjudicated,77.0,93.0,82.8,Mostly determinable,2,15,19,0.79,79.7,Mostly determinable,88.5,Determinable,87.0,13.0,13.0,1.0,9.0,15.0,0.6,22.0,25.0,0.88,20.0,20.0,1.0,7.0,10.0,0.7,6.0,10.0,0.6,8.0,removed,5.0,3.0,3.0,3.0,6.0,7.0,5.0,4.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,6.0,0.0,C5 | E2,
adobe-firefly,Adobe Firefly,AI image generator,active,no,adjudicated,65.0,93.0,69.9,Partly determinable,2,15,19,0.79,67.3,Partly determinable,74.7,Mostly determinable,87.0,13.0,13.0,1.0,6.0,15.0,0.4,16.0,25.0,0.64,20.0,20.0,1.0,7.0,10.0,0.7,3.0,10.0,0.3,8.0,removed,5.0,0.0,3.0,3.0,6.0,3.5,2.5,4.0,0.0,6.0,4.0,6.0,4.0,5.0,0.0,2.0,3.0,0.0,C5 | E2,
aiclicks,AIclicks,AI bot checker,active,no,primary,56.0,68.0,82.4,Mostly determinable,3,11,14,0.79,75.4,Mostly determinable,96.6,Determinable,58.0,13.0,13.0,1.0,10.0,10.0,1.0,5.0,8.0,0.63,18.0,20.0,0.9,0.0,7.0,0.0,10.0,10.0,1.0,8.0,removed,5.0,5.0,removed,5.0,removed,removed,5.0,removed,0.0,6.0,2.0,6.0,4.0,0.0,removed,0.0,6.0,4.0,C5 | E1 | E3,
aiva,AIVA,AI music generator,active,no,adjudicated,66.0,83.0,79.5,Mostly determinable,2,14,17,0.82,79.0,Mostly determinable,85.7,Determinable,77.0,13.0,20.0,0.65,13.0,15.0,0.87,5.0,8.0,0.63,18.0,20.0,0.9,7.0,10.0,0.7,10.0,10.0,1.0,4.0,7.0,2.0,5.0,3.0,5.0,removed,removed,5.0,removed,0.0,6.0,2.0,6.0,4.0,5.0,0.0,2.0,6.0,4.0,C5 | E2,
anomaly-ai,Anomaly AI,AI data analysis,active,no,adjudicated,47.0,93.0,50.5,Partly determinable,7,10,19,0.53,53.6,Partly determinable,73.4,Mostly determinable,64.0,13.0,13.0,1.0,8.0,15.0,0.53,12.0,25.0,0.48,4.0,20.0,0.2,0.0,10.0,0.0,10.0,10.0,1.0,8.0,removed,5.0,0.0,3.0,5.0,6.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,C4 | C5 | D1 | D3 | E1 | E2 | E3,
apify-robots-checker,Apify Robots.txt AI Checker,AI bot checker,active,no,primary,63.0,73.0,86.3,Determinable,2,13,15,0.87,81.7,Mostly determinable,100.0,Determinable,63.0,8.0,13.0,0.62,15.0,15.0,1.0,8.0,8.0,1.0,20.0,20.0,1.0,2.0,7.0,0.29,10.0,10.0,1.0,8.0,removed,0.0,5.0,5.0,5.0,removed,removed,5.0,removed,3.0,6.0,4.0,6.0,4.0,0.0,removed,2.0,6.0,4.0,A3 | E1,
aragon-ai,Aragon AI,AI headshot,active,no,adjudicated,68.8,93.0,74.0,Mostly determinable,2,14,19,0.74,74.0,Mostly determinable,79.1,Mostly determinable,87.0,13.0,13.0,1.0,11.0,15.0,0.73,18.5,25.0,0.74,13.3,20.0,0.67,7.0,10.0,0.7,6.0,10.0,0.6,8.0,removed,5.0,3.0,3.0,5.0,6.0,3.5,5.0,4.0,0.0,6.0,4.0,2.0,1.3,5.0,0.0,2.0,6.0,0.0,C5 | E2,
autoshorts-ai,AutoShorts.ai,Faceless video,active,no,adjudicated,73.5,93.0,79.0,Mostly determinable,2,16,19,0.84,82.3,Mostly determinable,87.5,Determinable,84.0,13.0,13.0,1.0,15.0,15.0,1.0,18.5,25.0,0.74,10.0,20.0,0.5,10.0,10.0,1.0,7.0,10.0,0.7,8.0,removed,5.0,5.0,5.0,5.0,6.0,3.5,5.0,4.0,0.0,0.0,0.0,6.0,4.0,5.0,3.0,2.0,3.0,4.0,C5 | D1,
beautiful-ai,Beautiful.ai,AI presentation,active,no,adjudicated,73.0,80.0,91.3,Determinable,1,15,16,0.94,90.0,Determinable,97.3,Determinable,75.0,20.0,20.0,1.0,15.0,15.0,1.0,5.0,5.0,1.0,18.0,20.0,0.9,5.0,10.0,0.5,10.0,10.0,1.0,8.0,7.0,5.0,5.0,5.0,5.0,removed,removed,5.0,removed,removed,6.0,2.0,6.0,4.0,0.0,3.0,2.0,6.0,4.0,E1,
